"","Program","0","20","40","60","80","100"
"1","PILT",       1.0,   47128.0,  135835.6,  328019.6,  696824.2, 4864794.0
"2","O_C",    1899.0,  939196.0, 2289464.0, 4325038.4,12069713.8,74048724.0
"3","BLM_Grz3",NA,NA,NA,NA,NA,NA
"4","BLM_GRZ15",   -3952.0,     164.4,     804.4,    1857.2,    4278.0,  181620.0
"5","Bankhead_Jones_Other",NA,NA,NA,NA,NA,NA
"6","BLM_Tmb",NA,NA,NA,NA,NA,NA
"7","BLM_FML",    -111.0,     235.4,    1940.8,   11120.0,   38517.2,10650544.0
"8","L_CFG",     804.0,   36594.0,   83392.4,  186033.2,  482796.8,36147707.0
"9","FS_Grz",NA,NA,NA,NA,NA,NA
"10","FS_Tmb",NA,NA,NA,NA,NA,NA
"11","SRS",       2.0,   47909.4,  166878.6,  509064.2, 1445981.6,38201601.0
